ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,Weighted_Percentage,Unweighted_Percentage,Weighted_to_Unweighted_Ratio
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,KE,#country+name,#date+year,#survey+id,#indicator+code,22204040.0,I,1000.0,0.0,Total,Total,#indicator+label+code,#indicator+label,1.0,1.0,PRDESLMWNM,Unknown,Unknown,7.683403681053826,7.535830462798367,0.14658107138418772,0.14413199760724135,1.0195828739757316
KEN,385393,Desire for more children [Men]: Have another soon,20.4,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_ASN,22194120.0,I,10000.0,10000.0,Total 15-49,Total 15-49,0,Unknown,1.0,1.0,PRDESCMASN,1993,DHS,7.321188556739478,7.302496423727326,0.13967086814646434,0.13966919800909502,1.0025596908135987
KEN,385394,Desire for more children [Men]: Have another later,26.2,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_ALT,22194130.0,I,10000.0,10000.0,Total 15-49,Total 15-49,0,Unknown,1.0,1.0,PRDESCMALT,1993,DHS,7.321188556739478,7.302496423727326,0.13967086814646434,0.13966919800909502,1.0025596908135987
KEN,385395,"Desire for more children [Men]: Wants, unsure timing",3.5,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_AUN,22194140.0,I,10000.0,10000.0,Total 15-49,Total 15-49,0,Unknown,1.0,1.0,PRDESCMAUN,1993,DHS,7.321188556739478,7.302496423727326,0.13967086814646434,0.13966919800909502,1.0025596908135987
KEN,385392,Desire for more children [Men]: Undecided,7.8,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_UND,22194150.0,I,10000.0,10000.0,Total 15-49,Total 15-49,0,Unknown,1.0,1.0,PRDESCMUND,1993,DHS,7.321188556739478,7.302496423727326,0.13967086814646434,0.13966919800909502,1.0025596908135987
KEN,385386,Desire for more children [Men]: Wants no more,36.1,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_WNM,22194160.0,I,10000.0,10000.0,Total 15-49,Total 15-49,0,Unknown,1.0,1.0,PRDESCMWNM,1993,DHS,7.321188556739478,7.302496423727326,0.13967086814646434,0.13966919800909502,1.0025596908135987
KEN,385388,Desire for more children [Men]: Sterilized,4.6,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_STR,22194170.0,I,10000.0,10000.0,Total 15-49,Total 15-49,0,Unknown,1.0,1.0,PRDESCMSTR,1993,DHS,7.321188556739478,7.302496423727326,0.13967086814646434,0.13966919800909502,1.0025596908135987
KEN,385390,Desire for more children [Men]: Declared infecund,1.2,1,KE,Kenya,1993,KE1993DHS,PR_DESC_M_INF,22194180.0,I,10000.0,10000.0,Total 15-49,Total 15-49,0,Unknown,1.0,1.0,PRDESCMINF,1993,DHS,7.321188556739478,7.302496423727326,0.13967086814646434,0.13966919800909502,1.0025596908135987
KEN,178574,Men who want no more children,40.7,1,KE,Kenya,1993,KE1993DHS,PR_DESL_M_WNM,22204040.0,I,10000.0,10000.0,Total 15-49,Total 15-49,1000,Total,1.0,1.0,PRDESLMWNM,1993,DHS,7.683403681053826,7.302496423727326,0.14658107138418772,0.13966919800909502,1.0521612384620762
KEN,78001,Ideal number of children [Men]: 0,0.3,1,KE,Kenya,1993,KE1993DHS,PR_IDLC_M_ID0,22234180.0,I,1000.0,0.0,Total,Total,0,Unknown,1.0,1.0,PRIDLCMID0,1993,DHS,7.683403681053826,7.682943169878292,0.14658107138418772,0.1469457085113697,1.000059939422348
